Region,Market,Maize..min.price.,Maize..max.price.,Latitude,Longitude
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Tanga,Tanga,43518,43518,-5.07426,39.09993
Arusha,Arusha,43000,45000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,48000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,45000,55000,-6.17971,35.74109
Kagera,Bukoba,45000,50000,-1.3314,31.81293
Manyara,Babati,36000,42000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,36000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Ruvuma,Songea,40000,50000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Iringa,Iringa,35000,40000,-7.78001,35.69671
Morogoro,Morogoro,42968,49625,-6.82771,37.66542
Tanga,Tanga,43518,43518,-5.07426,39.09993
Arusha,Arusha,43000,45000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,47000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,45000,55000,-6.17971,35.74109
Kagera,Bukoba,45000,50000,-1.3314,31.81293
Manyara,Babati,36000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,27000,36000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Kigoma,Kigoma,34000,36000,-4.89697,29.65987
Ruvuma,Songea,40000,50000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Iringa,Iringa,35000,40000,-7.78001,35.69671
Morogoro,Morogoro,42968,49625,-6.82771,37.66542
Tanga,Tanga,43518,43518,-5.07426,39.09993
Arusha,Arusha,43000,45000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,47000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,49000,58000,-6.17971,35.74109
Kagera,Bukoba,45000,48000,-1.3314,31.81293
Manyara,Babati,36000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,27000,36000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Kigoma,Kigoma,34000,36000,-4.89697,29.65987
Ruvuma,Songea,25000,45000,-10.67873,35.64836
Shinyanga,Shinyanga,40000,45000,-3.67226,33.43069
Iringa,Iringa,35000,40000,-7.78001,35.69671
Morogoro,Morogoro,42968,49625,-6.82771,37.66542
Tanga,Tanga,43518,43518,-5.07426,39.09993
Arusha,Arusha,45000,47000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,47000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,49000,58000,-6.17971,35.74109
Kagera,Bukoba,45000,48000,-1.3314,31.81293
Manyara,Babati,36000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,33000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Kigoma,Kigoma,36000,38000,-4.89697,29.65987
Ruvuma,Songea,29000,45000,-10.67873,35.64836
Shinyanga,Shinyanga,40000,45000,-3.67226,33.43069
Iringa,Iringa,35000,40000,-7.78001,35.69671
Morogoro,Morogoro,42968,49625,-6.82771,37.66542
Tanga,Tanga,48148,49000,-5.07426,39.09993
Arusha,Arusha,46000,47000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,47000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,45000,58000,-6.17971,35.74109
Kagera,Bukoba,45000,48000,-1.3314,31.81293
Manyara,Babati,36000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,33000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Kigoma,Kigoma,36000,38000,-4.89697,29.65987
Ruvuma,Songea,29000,45000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Iringa,Iringa,35000,38000,-7.78001,35.69671
Morogoro,Morogoro,42968,49625,-6.82771,37.66542
Tanga,Tanga,48148,49000,-5.07426,39.09993
Arusha,Arusha,48000,50000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,47000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,44000,57000,-6.17971,35.74109
Kagera,Bukoba,47000,50000,-1.3314,31.81293
Manyara,Babati,36000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,33000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,48000,65000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Kigoma,Kigoma,39000,40000,-4.89697,29.65987
Ruvuma,Songea,28000,45000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Iringa,Iringa,35000,38000,-7.78001,35.69671
Morogoro,Morogoro,42968,43750,-6.82771,37.66542
Tanga,Tanga,48148,49000,-5.07426,39.09993
Arusha,Arusha,48000,50000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,47000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,45000,50000,-6.17971,35.74109
Kagera,Bukoba,48000,50000,-1.3314,31.81293
Manyara,Babati,36000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,33000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,48000,65000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Kigoma,Kigoma,38000,39000,-4.89697,29.65987
Ruvuma,Songea,30000,45000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,46000,-3.67226,33.43069
Iringa,Iringa,35000,38000,-7.78001,35.69671
Morogoro,Morogoro,42968,45312,-6.82771,37.66542
Tanga,Tanga,48148,50000,-5.07426,39.09993
Arusha,Arusha,46000,48000,-3.36968,36.68808
Dodoma,Majengo,44000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,36000,38000,-6.0811,36.64645
Kagera,Bukoba,48000,50000,-1.3314,31.81293
Manyara,Babati,42000,48000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,33000,-7.95239,31.62319
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Mbeya,Mbeya,38000,38000,-8.90994,33.45517
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mara,Musoma,55000,60000,-1.49982,33.8083
Ruvuma,Songea,30000,45000,-10.67873,35.64836
Iringa,Iringa,35000,38000,-7.78001,35.69671
Tanga,Tanga,46296,47222,-5.07426,39.09993
Arusha,Arusha,46000,48000,-3.36968,36.68808
Dar es Salaam,Kinondoni,45000,45000,-6.78407,39.27007
Dar es Salaam,Ilala,46000,47000,-6.82941,39.26289
Dodoma,Majengo,44000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,37000,38000,-6.0811,36.64645
Katavi,Mpanda,30000,36000,-6.34295,31.07299
Kagera,Bukoba,48000,50000,-1.3314,31.81293
Kigoma,Kigoma,38000,44000,-4.89697,29.65987
Manyara,Babati,42000,48000,-4.21006,35.74915
Rukwa,Sumbawanga,28000,30000,-7.95239,31.62319
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Mwanza,Mwanza,50000,65000,-2.51969,32.90144
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Mbeya,Mbeya,38000,38000,-8.90994,33.45517
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mara,Musoma,55000,60000,-1.49982,33.8083
Ruvuma,Songea,30000,45000,-10.67873,35.64836
Iringa,Iringa,35000,38000,-7.78001,35.69671
Tanga,Tanga,46296,47222,-5.07426,39.09993
Arusha,Arusha,47000,49000,-3.36968,36.68808
Dar es Salaam,Kinondoni,45000,70000,-6.78407,39.27007
Dodoma,Majengo,45000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,36000,37000,-6.0811,36.64645
Kagera,Bukoba,48000,52000,-1.3314,31.81293
Kigoma,Kigoma,38000,44000,-4.89697,29.65987
Njombe,Njombe,35000,42500,-9.33805,34.76949
Manyara,Babati,42000,48000,-4.21006,35.74915
Morogoro,Morogoro,42968,43750,-6.82771,37.66542
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Mbeya,Mbeya,36000,36000,-8.90994,33.45517
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mara,Musoma,55000,60000,-1.49982,33.8083
Ruvuma,Songea,28000,45000,-10.67873,35.64836
Arusha,Arusha,47000,49000,-3.36968,36.68808
Dar es Salaam,Kinondoni,45000,70000,-6.78407,39.27007
Dodoma,Majengo,45000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,36000,37000,-6.0811,36.64645
Iringa,Iringa,35000,35000,-7.78001,35.69671
Kagera,Bukoba,48000,52000,-1.3314,31.81293
Kigoma,Kigoma,38000,44000,-4.89697,29.65987
Njombe,Njombe,35000,42500,-9.33805,34.76949
Manyara,Babati,42000,48000,-4.21006,35.74915
Mara,Musoma,55000,60000,-1.49982,33.8083
Morogoro,Morogoro,42968,43750,-6.82771,37.66542
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Mbeya,Mbeya,36000,36000,-8.90994,33.45517
Tabora,Tabora,34000,36000,-5.01972,32.80767
Tanga,Tanga,44444,48148,-5.07426,39.09993
Ruvuma,Songea,28000,45000,-10.67873,35.64836
Sumbawanga,Rukwa,24000,27000,-8.01818,31.51462
Arusha,Arusha,48000,50000,-3.36968,36.68808
Dar es Salaam,Kinondoni,45000,70000,-6.78407,39.27007
Dodoma,Majengo,45000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,36000,37000,-6.0811,36.64645
Iringa,Iringa,35000,35000,-7.78001,35.69671
Kagera,Bukoba,50000,52000,-1.3314,31.81293
Kigoma,Kigoma,38000,44000,-4.89697,29.65987
Njombe,Njombe,30000,35000,-9.33805,34.76949
Manyara,Babati,42000,48000,-4.21006,35.74915
Mara,Musoma,55000,60000,-1.49982,33.8083
Morogoro,Morogoro,42187,43750,-6.82771,37.66542
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Tanga,Tanga,44444,48148,-5.07426,39.09993
Ruvuma,Songea,28000,45000,-10.67873,35.64836
Shinyanga,Shinyanga,40000,42000,-3.67226,33.43069
Sumbawanga,Rukwa,20000,24000,-8.01818,31.51462
Arusha,Arusha,47000,49000,-3.36968,36.68808
Dar es Salaam,Kinondoni,52000,70000,-6.78407,39.27007
Dar es Salaam,Temeke,47000,48000,-6.85097,39.25672
Dodoma,Majengo,45000,50000,-6.17971,35.74109
Dodoma,Kibaigwa,35000,36000,-6.0811,36.64645
Iringa,Iringa,35000,35000,-7.78001,35.69671
Kagera,Bukoba,50000,52000,-1.3314,31.81293
Kigoma,Kigoma,38000,44000,-4.89697,29.65987
Njombe,Njombe,30000,35000,-9.33805,34.76949
Manyara,Babati,42000,48000,-4.21006,35.74915
Moshi,Moshi,60000,60000,-3.34865,37.34352
Mara,Musoma,60000,65000,-1.49982,33.8083
Morogoro,Morogoro,42187,43750,-6.82771,37.66542
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Tanga,Tanga,44444,48148,-5.07426,39.09993
Ruvuma,Songea,28000,45000,-10.67873,35.64836
Sumbawanga,Rukwa,30000,32000,-8.01818,31.51462
