Region,Market,Maize..min.price.,Maize..max.price.,Latitude,Longitude
Dar es Salaam,Kinondoni,55000,55000,-6.78407,39.27007
Dodoma,Majengo,46000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,44000,46000,-6.0811,36.64645
Iringa,Iringa,33000,33000,-7.78001,35.69671
Kagera,Bukoba,60000,65000,-1.3314,31.81293
Katavi,Mpanda,36000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,100000,-9.99892,39.71373
Manyara,Babati,48000,60000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Morogoro,Morogoro,46875,48830,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,65000,70000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,29000,30000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,44000,46000,-3.67226,33.43069
Tabora,Tabora,52000,54000,-5.01972,32.80767
Tanga,Tanga,53703,55555,-5.07426,39.09993
Arusha,Arusha,54000,55000,-3.36968,36.68808
Dar es Salaam,Kinondoni,55000,55000,-6.78407,39.27007
Dodoma,Majengo,47000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,44000,46000,-6.0811,36.64645
Iringa,Iringa,43000,43000,-7.78001,35.69671
Kagera,Bukoba,60000,65000,-1.3314,31.81293
Katavi,Mpanda,36000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,100000,-9.99892,39.71373
Manyara,Babati,48000,60000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Morogoro,Morogoro,46875,48830,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,65000,70000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,29000,30000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,44000,46000,-3.67226,33.43069
Tabora,Tabora,52000,54000,-5.01972,32.80767
Tanga,Tanga,53703,55555,-5.07426,39.09993
Arusha,Arusha,54000,55000,-3.36968,36.68808
Dar es Salaam,Kinondoni,55000,55000,-6.78407,39.27007
Dodoma,Majengo,47000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,44000,46000,-6.0811,36.64645
Iringa,Iringa,43000,43000,-7.78001,35.69671
Kagera,Bukoba,60000,65000,-1.3314,31.81293
Katavi,Mpanda,42000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,100000,-9.99892,39.71373
Manyara,Babati,48000,60000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Morogoro,Morogoro,46875,48830,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,65000,70000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,29000,30000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,44000,46000,-3.67226,33.43069
Tabora,Tabora,52000,54000,-5.01972,32.80767
Tanga,Tanga,53703,55555,-5.07426,39.09993
Arusha,Arusha,54000,55000,-3.36968,36.68808
Dar es Salaam,Kinondoni,55000,55000,-6.78407,39.27007
Dodoma,Majengo,47000,52000,-6.17971,35.74109
Dodoma,Kibaigwa,44000,46000,-6.0811,36.64645
Iringa,Iringa,43000,43000,-7.78001,35.69671
Kagera,Bukoba,60000,65000,-1.3314,31.81293
Katavi,Mpanda,42000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,100000,-9.99892,39.71373
Manyara,Babati,48000,60000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Morogoro,Morogoro,58595,58595,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,65000,70000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,29000,30000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,44000,46000,-3.67226,33.43069
Tabora,Tabora,57000,58000,-5.01972,32.80767
Tanga,Tanga,53703,55555,-5.07426,39.09993
Arusha,Arusha,60000,61000,-3.36968,36.68808
Dar es Salaam,Kinondoni,50000,65000,-6.78407,39.27007
Dodoma,Majengo,52000,58000,-6.17971,35.74109
Dodoma,Kibaigwa,53000,55000,-6.0811,36.64645
Iringa,Iringa,45000,45000,-7.78001,35.69671
Kagera,Bukoba,62000,65000,-1.3314,31.81293
Katavi,Mpanda,42000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,100000,-9.99892,39.71373
Manyara,Babati,48000,60000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Morogoro,Morogoro,58595,58595,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,65000,70000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,29000,30000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,44000,46000,-3.67226,33.43069
Tabora,Tabora,57000,58000,-5.01972,32.80767
Tanga,Tanga,53703,55555,-5.07426,39.09993
Arusha,Arusha,60000,62000,-3.36968,36.68808
Dar es Salaam,Kinondoni,50000,65000,-6.78407,39.27007
Dodoma,Majengo,53000,58000,-6.17971,35.74109
Dodoma,Kibaigwa,53000,55000,-6.0811,36.64645
Iringa,Iringa,50000,52000,-7.78001,35.69671
Kagera,Bukoba,65000,72000,-1.3314,31.81293
Katavi,Mpanda,42000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,100000,-9.99892,39.71373
Manyara,Babati,48000,60000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Morogoro,Morogoro,58595,58595,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,65000,70000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,29000,30000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,44000,46000,-3.67226,33.43069
Tabora,Tabora,57000,58000,-5.01972,32.80767
Tanga,Tanga,53703,55555,-5.07426,39.09993
Arusha,Arusha,60000,62000,-3.36968,36.68808
Dar es Salaam,Kinondoni,63000,65000,-6.78407,39.27007
Dodoma,Majengo,53000,58000,-6.17971,35.74109
Dodoma,Kibaigwa,53000,55000,-6.0811,36.64645
Iringa,Iringa,50000,52000,-7.78001,35.69671
Kagera,Bukoba,65000,72000,-1.3314,31.81293
Katavi,Mpanda,42000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,100000,-9.99892,39.71373
Manyara,Babati,48000,60000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Kigoma,Kigoma,61000,62000,-4.89697,29.65987
Morogoro,Morogoro,58595,58595,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,65000,70000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,45000,50000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,44000,46000,-3.67226,33.43069
Tabora,Tabora,57000,58000,-5.01972,32.80767
Tanga,Tanga,53703,55555,-5.07426,39.09993
Arusha,Arusha,64000,65000,-3.36968,36.68808
Dar es Salaam,Kinondoni,63000,65000,-6.78407,39.27007
Dodoma,Majengo,53000,58000,-6.17971,35.74109
Dodoma,Kibaigwa,53000,55000,-6.0811,36.64645
Iringa,Iringa,50000,52000,-7.78001,35.69671
Kagera,Bukoba,65000,72000,-1.3314,31.81293
Katavi,Mpanda,42000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,100000,-9.99892,39.71373
Manyara,Babati,48000,60000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Kigoma,Kigoma,61000,62000,-4.89697,29.65987
Morogoro,Morogoro,58595,58595,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,73000,75000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,45000,50000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,45000,46000,-3.67226,33.43069
Tabora,Tabora,57000,58000,-5.01972,32.80767
Tanga,Tanga,53703,55555,-5.07426,39.09993
Arusha,Arusha,64000,65000,-3.36968,36.68808
Dar es Salaam,Kinondoni,63000,65000,-6.78407,39.27007
Dodoma,Majengo,55000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,53000,55000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,42000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,120000,-9.99892,39.71373
Manyara,Babati,52000,66000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Kigoma,Kigoma,61000,62000,-4.89697,29.65987
Morogoro,Morogoro,58595,58595,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,73000,75000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,50000,55000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,45000,46000,-3.67226,33.43069
Tabora,Tabora,57000,58000,-5.01972,32.80767
Tanga,Tanga,66666,66666,-5.07426,39.09993
Arusha,Arusha,65000,65000,-3.36968,36.68808
Dar es Salaam,Kinondoni,63000,65000,-6.78407,39.27007
Dodoma,Majengo,55000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,58000,59500,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,42000,54000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,52000,66000,-4.21006,35.74915
Mara,Musoma,60000,65000,-1.49982,33.8083
Kigoma,Kigoma,61000,62000,-4.89697,29.65987
Morogoro,Morogoro,62500,62500,-6.82771,37.66542
Mtwara,Mtwara,45000,45000,-10.28009,40.18191
Mwanza,Mwanza,73000,75000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,50000,55000,-10.67873,35.64836
Rukwa,Sumbawanga,40000,45000,-7.95239,31.62319
Shinyanga,Shinyanga,45000,46000,-3.67226,33.43069
Tabora,Tabora,57000,58000,-5.01972,32.80767
Tanga,Tanga,66666,66666,-5.07426,39.09993
Arusha,Arusha,65000,66000,-3.36968,36.68808
Dar es Salaam,Kinondoni,63000,65000,-6.78407,39.27007
Dodoma,Majengo,55000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,58000,59500,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,52000,66000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,62500,62500,-6.82771,37.66542
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,50000,50000,-9.33805,34.76949
Songea,Ruvuma,50000,55000,-10.67873,35.64836
Tanga,Tanga,67992,68518,-5.07426,39.09993
Arusha,Arusha,65000,66000,-3.36968,36.68808
Dar es Salaam,Kinondoni,63000,65000,-6.78407,39.27007
Dodoma,Majengo,61000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,59000,61000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,66406,66406,-6.82771,37.66542
Mtwara,Mtwara,68000,68000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,50000,60000,-9.33805,34.76949
Songea,Ruvuma,50000,60000,-10.67873,35.64836
Tanga,Tanga,67992,68518,-5.07426,39.09993
Arusha,Arusha,65000,65000,-3.36968,36.68808
Dar es Salaam,Kinondoni,66000,66000,-6.78407,39.27007
Dodoma,Majengo,55000,63000,-6.17971,35.74109
Dodoma,Kibaigwa,59000,61000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,66604,66604,-6.82771,37.66542
Mtwara,Mtwara,68000,68000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,50000,60000,-9.33805,34.76949
Songea,Ruvuma,50000,60000,-10.67873,35.64836
Tanga,Tanga,67992,68518,-5.07426,39.09993
Arusha,Arusha,65000,66000,-3.36968,36.68808
Dar es Salaam,Kinondoni,66000,66000,-6.78407,39.27007
Dodoma,Majengo,60000,63000,-6.17971,35.74109
Dodoma,Kibaigwa,59000,61000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,66604,66604,-6.82771,37.66542
Mtwara,Mtwara,68000,68000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,50000,60000,-9.33805,34.76949
Songea,Ruvuma,50000,60000,-10.67873,35.64836
Tanga,Tanga,67992,68518,-5.07426,39.09993
Arusha,Arusha,64000,65000,-3.36968,36.68808
Dar es Salaam,Kinondoni,66000,66000,-6.78407,39.27007
Dodoma,Majengo,57000,63000,-6.17971,35.74109
Dodoma,Kibaigwa,59000,61000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,66604,66604,-6.82771,37.66542
Mtwara,Mtwara,68000,68000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,50000,60000,-9.33805,34.76949
Songea,Ruvuma,50000,55000,-10.67873,35.64836
Tanga,Tanga,67992,68518,-5.07426,39.09993
Arusha,Arusha,64000,65000,-3.36968,36.68808
Dar es Salaam,Kinondoni,66000,66000,-6.78407,39.27007
Dodoma,Majengo,58000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,59000,61000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,66604,66604,-6.82771,37.66542
Mtwara,Mtwara,68000,68000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,50000,60000,-9.33805,34.76949
Songea,Ruvuma,50000,55000,-10.67873,35.64836
Tanga,Tanga,67992,68518,-5.07426,39.09993
Arusha,Arusha,64000,65000,-3.36968,36.68808
Dar es Salaam,Kinondoni,66000,66000,-6.78407,39.27007
Dodoma,Majengo,58000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,62000,62000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,100000,150000,-6.82771,37.66542
Mtwara,Mtwara,68000,68000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,56000,56000,-9.33805,34.76949
Songea,Ruvuma,50000,55000,-10.67873,35.64836
Tanga,Tanga,67592,68518,-5.07426,39.09993
Arusha,Arusha,64000,65000,-3.36968,36.68808
Dar es Salaam,Kinondoni,65000,65000,-6.78407,39.27007
Dodoma,Majengo,58000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,65000,65000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,100000,150000,-6.82771,37.66542
Mtwara,Mtwara,68000,68000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,56000,56000,-9.33805,34.76949
Songea,Ruvuma,50000,60000,-10.67873,35.64836
Tanga,Tanga,67592,68518,-5.07426,39.09993
Arusha,Arusha,63000,64000,-3.36968,36.68808
Dar es Salaam,Kinondoni,65000,80000,-6.78407,39.27007
Dodoma,Majengo,58000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,65000,65000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,65000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,100000,150000,-6.82771,37.66542
Mtwara,Mtwara,68000,68000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,56000,56000,-9.33805,34.76949
Songea,Ruvuma,50000,60000,-10.67873,35.64836
Tanga,Tanga,70370,68518,-5.07426,39.09993
Arusha,Arusha,63000,64000,-3.36968,36.68808
Dar es Salaam,Kinondoni,65000,80000,-6.78407,39.27007
Dodoma,Majengo,58000,62000,-6.17971,35.74109
Dodoma,Kibaigwa,65000,65000,-6.0811,36.64645
Iringa,Iringa,55000,60000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,65000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,100000,150000,-6.82771,37.66542
Mtwara,Mtwara,64000,65000,-10.28009,40.18191
Mwanza,Mwanza,77000,80000,-2.51969,32.90144
Njombe,Njombe,56000,56000,-9.33805,34.76949
Ruvuma,Songea,50000,60000,-10.67873,35.64836
Tanga,Tanga,70370,68518,-5.07426,39.09993
Arusha,Arusha,63000,63000,-3.36968,36.68808
Dar es Salaam,Kinondoni,63000,100000,-6.78407,39.27007
Dodoma,Majengo,59000,63000,-6.17971,35.74109
Dodoma,Kibaigwa,65000,65000,-6.0811,36.64645
Iringa,Iringa,55000,55000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,65000,72000,-4.21006,35.74915
Kigoma,Kigoma,61000,64000,-4.89697,29.65987
Morogoro,Morogoro,100000,100000,-6.82771,37.66542
Mtwara,Mtwara,64000,65000,-10.28009,40.18191
Mwanza,Mwanza,80000,80000,-2.51969,32.90144
Njombe,Njombe,56000,56000,-9.33805,34.76949
Ruvuma,Songea,50000,60000,-10.67873,35.64836
Tanga,Tanga,70370,69444,-5.07426,39.09993
Arusha,Arusha,63000,63000,-3.36968,36.68808
Dar es Salaam,Kinondoni,60000,100000,-6.78407,39.27007
Dodoma,Majengo,59000,63000,-6.17971,35.74109
Dodoma,Kibaigwa,65000,65000,-6.0811,36.64645
Iringa,Iringa,55000,55000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,65000,72000,-4.21006,35.74915
Kigoma,Kigoma,55000,66000,-4.89697,29.65987
Morogoro,Morogoro,100000,100000,-6.82771,37.66542
Mtwara,Mtwara,64000,65000,-10.28009,40.18191
Mwanza,Mwanza,80000,80000,-2.51969,32.90144
Njombe,Njombe,56000,56000,-9.33805,34.76949
Ruvuma,Songea,46000,50000,-10.67873,35.64836
Tanga,Tanga,70370,69444,-5.07426,39.09993
Arusha,Arusha,63000,63000,-3.36968,36.68808
Dar es Salaam,Kinondoni,60000,100000,-6.78407,39.27007
Dodoma,Majengo,59000,63000,-6.17971,35.74109
Dodoma,Kibaigwa,65000,65000,-6.0811,36.64645
Iringa,Iringa,55000,55000,-7.78001,35.69671
Kagera,Bukoba,68000,72000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,55000,66000,-4.89697,29.65987
Morogoro,Morogoro,100000,100000,-6.82771,37.66542
Mtwara,Mtwara,64000,65000,-10.28009,40.18191
Mwanza,Mwanza,80000,80000,-2.51969,32.90144
Njombe,Njombe,56000,56000,-9.33805,34.76949
Ruvuma,Songea,46000,50000,-10.67873,35.64836
Tanga,Tanga,67592,67592,-5.07426,39.09993
Arusha,Arusha,62000,63000,-3.36968,36.68808
Dar es Salaam,Kinondoni,60000,100000,-6.78407,39.27007
Dodoma,Majengo,63000,69000,-6.17971,35.74109
Dodoma,Kibaigwa,65000,65000,-6.0811,36.64645
Iringa,Iringa,55000,55000,-7.78001,35.69671
Kagera,Bukoba,70000,75000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,80000,100000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,55000,66000,-4.89697,29.65987
Morogoro,Morogoro,100000,100000,-6.82771,37.66542
Mtwara,Mtwara,64000,65000,-10.28009,40.18191
Mwanza,Mwanza,80000,80000,-2.51969,32.90144
Njombe,Njombe,60000,60000,-9.33805,34.76949
Ruvuma,Songea,46000,50000,-10.67873,35.64836
Tanga,Tanga,66666,68518,-5.07426,39.09993
Arusha,Arusha,60000,61000,-3.36968,36.68808
Dar es Salaam,Kinondoni,60000,100000,-6.78407,39.27007
Dodoma,Majengo,58000,58000,-6.17971,35.74109
Dodoma,Kibaigwa,52000,52000,-6.0811,36.64645
Iringa,Iringa,50000,55000,-7.78001,35.69671
Kagera,Bukoba,58000,65000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,80000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,55000,66000,-4.89697,29.65987
Morogoro,Morogoro,58593,62500,-6.82771,37.66542
Mtwara,Mtwara,62000,62000,-10.28009,40.18191
Mwanza,Mwanza,75000,80000,-2.51969,32.90144
Njombe,Njombe,60000,60000,-9.33805,34.76949
Rukwa,Sumbawanga,52000,55000,-7.95239,31.62319
Tanga,Tanga,55555,55555,-5.07426,39.09993
Arusha,Arusha,60000,61000,-3.36968,36.68808
Dar es Salaam,Kinondoni,60000,100000,-6.78407,39.27007
Dodoma,Majengo,50000,57000,-6.17971,35.74109
Dodoma,Kibaigwa,52000,52000,-6.0811,36.64645
Iringa,Iringa,50000,55000,-7.78001,35.69671
Kagera,Bukoba,57000,62000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,80000,-9.99892,39.71373
Manyara,Babati,60000,72000,-4.21006,35.74915
Kigoma,Kigoma,55000,66000,-4.89697,29.65987
Morogoro,Morogoro,58600,58600,-6.82771,37.66542
Mtwara,Mtwara,55000,55000,-10.28009,40.18191
Mwanza,Mwanza,75000,80000,-2.51969,32.90144
Njombe,Njombe,60000,60000,-9.33805,34.76949
Rukwa,Sumbawanga,52000,55000,-7.95239,31.62319
Tanga,Tanga,55555,55555,-5.07426,39.09993
Arusha,Arusha,56000,58000,-3.36968,36.68808
Dar es Salaam,Kinondoni,60000,100000,-6.78407,39.27007
Dodoma,Majengo,50000,57000,-6.17971,35.74109
Dodoma,Kibaigwa,50500,50500,-6.0811,36.64645
Iringa,Iringa,50000,55000,-7.78001,35.69671
Kagera,Bukoba,57000,60000,-1.3314,31.81293
Katavi,Mpanda,62000,66000,-6.34295,31.07299
Kilimanjaro,Moshi,60000,60000,-3.34865,37.34352
Lindi,Lindi,70000,80000,-9.99892,39.71373
Manyara,Babati,54000,66000,-4.21006,35.74915
Kigoma,Kigoma,55000,66000,-4.89697,29.65987
Morogoro,Morogoro,58600,58600,-6.82771,37.66542
Mtwara,Mtwara,55000,55000,-10.28009,40.18191
Mwanza,Mwanza,75000,80000,-2.51969,32.90144
Njombe,Njombe,60000,60000,-9.33805,34.76949
